Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,def_cluster
Trent Alexander-Arnold,RB,England,0.86,0.75,0.72,0.9,0.8,0.8,0.74,0.72,0.78,0.73,0.72,0.85,0.85,0.68,0.89,0.75,0.82,0.78,0.78,0.84,0.69,0.85,RB,DEF,0
Jonathan Tah,CB,Germany,0.86,0.71,0.38,0.6,0.62,0.86,0.84,0.53,0.86,0.49,0.4,0.67,0.84,0.92,0.69,0.86,0.87,0.81,0.87,0.83,0.87,0.6,CB,DEF,0
Bremer,CB,Brazil,0.86,0.82,0.5,0.58,0.66,0.86,0.85,0.78,0.86,0.65,0.67,0.68,0.79,0.89,0.75,0.94,0.87,0.84,0.87,0.84,0.87,0.68,CB,DEF,0
Joshua Kimmich,RB,Germany,0.86,0.69,0.74,0.88,0.84,0.81,0.77,0.77,0.62,0.83,0.84,0.85,0.88,0.68,0.88,0.79,0.82,0.83,0.81,0.85,0.72,0.78,RB,DEF,0
David Alaba,CB,Austria,0.85,0.79,0.71,0.83,0.8,0.85,0.77,0.78,0.79,0.76,0.78,0.83,0.88,0.78,0.73,0.86,0.84,0.83,0.89,0.87,0.77,0.82,CB,DEF,0
Ronald Araujo,CB,Uruguay,0.85,0.82,0.53,0.64,0.62,0.85,0.84,0.76,0.86,0.56,0.55,0.68,0.84,0.87,0.72,0.92,0.85,0.85,0.84,0.85,0.85,0.68,CB,DEF,0
Éder Militão,CB,Brazil,0.85,0.85,0.5,0.69,0.71,0.85,0.82,0.81,0.88,0.7,0.62,0.72,0.84,0.79,0.85,0.91,0.86,0.85,0.85,0.85,0.86,0.62,CB,DEF,0
Jules Koundé,RB,France,0.85,0.84,0.45,0.7,0.75,0.86,0.8,0.85,0.83,0.71,0.74,0.77,0.86,0.8,0.78,0.9,0.86,0.84,0.87,0.86,0.8,0.48,RB,DEF,0
Andrew Robertson,LB,Scotland,0.85,0.78,0.61,0.82,0.79,0.81,0.78,0.79,0.78,0.75,0.74,0.82,0.85,0.67,0.93,0.76,0.83,0.81,0.82,0.81,0.67,0.76,LB,DEF,0
Nico Schlotterbeck,CB,Germany,0.85,0.77,0.59,0.7,0.73,0.85,0.82,0.78,0.76,0.68,0.64,0.71,0.83,0.84,0.74,0.91,0.87,0.86,0.85,0.83,0.85,0.75,CB,DEF,0
John Stones,CB,England,0.85,0.69,0.58,0.75,0.79,0.85,0.77,0.68,0.69,0.68,0.67,0.83,0.87,0.77,0.74,0.84,0.86,0.84,0.86,0.84,0.84,0.68,CB,DEF,0
Francesco Acerbi,CB,Italy,0.84,0.6,0.5,0.64,0.65,0.86,0.8,0.61,0.59,0.38,0.33,0.72,0.83,0.85,0.68,0.86,0.89,0.83,0.87,0.84,0.84,0.75,CB,DEF,0
Manuel Akanji,CB,Switzerland,0.84,0.78,0.48,0.71,0.75,0.85,0.82,0.76,0.8,0.66,0.54,0.78,0.86,0.86,0.71,0.9,0.86,0.84,0.86,0.84,0.79,0.75,CB,DEF,0
Nathan Aké,CB,Holland,0.84,0.76,0.53,0.72,0.75,0.84,0.77,0.77,0.75,0.67,0.68,0.79,0.84,0.78,0.71,0.88,0.85,0.84,0.84,0.83,0.82,0.64,CB,DEF,0
Matthijs de Ligt,CB,Holland,0.84,0.62,0.61,0.63,0.67,0.85,0.83,0.54,0.68,0.52,0.62,0.72,0.84,0.91,0.64,0.86,0.85,0.86,0.85,0.82,0.85,0.84,CB,DEF,0
Federico Dimarco,LB,Italy,0.84,0.8,0.77,0.84,0.83,0.78,0.81,0.83,0.78,0.8,0.84,0.86,0.83,0.78,0.85,0.82,0.8,0.79,0.79,0.8,0.65,0.81,LB,DEF,0
Achraf Hakimi,RB,Morocco,0.84,0.91,0.76,0.8,0.8,0.75,0.78,0.89,0.93,0.81,0.77,0.82,0.82,0.72,0.92,0.82,0.76,0.76,0.75,0.78,0.68,0.82,RB,DEF,0
Kalidou Koulibaly,CB,Senegal,0.84,0.76,0.48,0.64,0.67,0.85,0.84,0.66,0.85,0.43,0.33,0.72,0.85,0.9,0.74,0.82,0.85,0.83,0.86,0.84,0.82,0.67,CB,DEF,0
Lisandro Martínez,CB,Argentina,0.84,0.71,0.59,0.78,0.79,0.85,0.81,0.74,0.68,0.77,0.82,0.81,0.84,0.79,0.75,0.84,0.87,0.84,0.86,0.85,0.75,0.73,CB,DEF,0
Ferland Mendy,LB,France,0.84,0.89,0.64,0.76,0.76,0.81,0.85,0.88,0.89,0.8,0.79,0.76,0.81,0.84,0.89,0.9,0.83,0.82,0.8,0.81,0.72,0.69,LB,DEF,0
Benjamin Pavard,CB,France,0.84,0.75,0.67,0.75,0.75,0.86,0.81,0.74,0.76,0.71,0.7,0.78,0.86,0.8,0.84,0.88,0.87,0.84,0.85,0.86,0.84,0.8,CB,DEF,0
Cristian Romero,CB,Argentina,0.84,0.68,0.46,0.59,0.66,0.85,0.81,0.67,0.68,0.67,0.64,0.69,0.85,0.83,0.71,0.86,0.86,0.85,0.85,0.86,0.82,0.51,CB,DEF,0
Kyle Walker,RB,England,0.84,0.89,0.64,0.77,0.78,0.79,0.81,0.84,0.93,0.66,0.69,0.82,0.85,0.8,0.81,0.87,0.85,0.83,0.75,0.78,0.72,0.87,RB,DEF,0
Benjamin White,RB,England,0.84,0.73,0.35,0.77,0.78,0.83,0.8,0.7,0.75,0.68,0.61,0.83,0.84,0.78,0.83,0.83,0.84,0.82,0.83,0.84,0.78,0.53,RB,DEF,0
Marcos Acuña,LB,Argentina,0.83,0.74,0.74,0.82,0.82,0.8,0.84,0.75,0.74,0.82,0.9,0.82,0.84,0.82,0.9,0.79,0.84,0.83,0.81,0.81,0.61,0.83,LB,DEF,0
Andreas Christensen,CB,Denmark,0.83,0.67,0.32,0.68,0.71,0.85,0.76,0.56,0.76,0.61,0.61,0.79,0.84,0.78,0.73,0.8,0.86,0.84,0.86,0.86,0.8,0.37,CB,DEF,0
Stefan de Vrij,CB,Holland,0.83,0.62,0.41,0.65,0.69,0.85,0.75,0.63,0.61,0.6,0.6,0.74,0.83,0.78,0.67,0.82,0.85,0.81,0.86,0.87,0.79,0.65,CB,DEF,0
José María Giménez,CB,Uruguay,0.83,0.71,0.46,0.58,0.61,0.85,0.82,0.7,0.71,0.56,0.57,0.66,0.78,0.85,0.71,0.88,0.85,0.85,0.87,0.84,0.82,0.73,CB,DEF,0
Joško Gvardiol,LB,Croatia,0.83,0.79,0.69,0.74,0.78,0.83,0.83,0.8,0.79,0.68,0.67,0.81,0.84,0.83,0.79,0.9,0.84,0.84,0.83,0.82,0.78,0.81,LB,DEF,0
Lucas Hernández,CB,France,0.83,0.74,0.54,0.72,0.71,0.84,0.78,0.7,0.78,0.69,0.69,0.77,0.85,0.78,0.66,0.85,0.85,0.84,0.85,0.83,0.82,0.62,CB,DEF,0
Kim Min Jae,CB,Korea Republic,0.83,0.76,0.33,0.57,0.63,0.85,0.83,0.74,0.78,0.65,0.65,0.68,0.82,0.86,0.76,0.84,0.87,0.85,0.84,0.85,0.81,0.51,CB,DEF,0
Ibrahima Konaté,CB,France,0.83,0.75,0.34,0.59,0.68,0.83,0.84,0.69,0.8,0.55,0.34,0.74,0.81,0.9,0.71,0.83,0.85,0.81,0.82,0.82,0.81,0.45,CB,DEF,0
Aymeric Laporte,CB,Spain,0.83,0.55,0.5,0.74,0.7,0.85,0.76,0.5,0.59,0.57,0.54,0.82,0.83,0.82,0.68,0.81,0.87,0.84,0.83,0.86,0.82,0.68,CB,DEF,0
Robin Le Normand,CB,Spain,0.83,0.62,0.26,0.54,0.6,0.84,0.79,0.58,0.66,0.41,0.51,0.74,0.83,0.86,0.7,0.86,0.86,0.82,0.84,0.83,0.85,0.4,CB,DEF,0
Willi Orban,CB,Hungary,0.83,0.58,0.36,0.56,0.56,0.85,0.78,0.5,0.65,0.48,0.52,0.59,0.82,0.85,0.58,0.9,0.86,0.81,0.86,0.83,0.85,0.37,CB,DEF,3
Pedro Porro,RB,Spain,0.83,0.82,0.73,0.8,0.81,0.78,0.77,0.8,0.84,0.8,0.71,0.83,0.81,0.71,0.91,0.79,0.81,0.77,0.77,0.78,0.69,0.83,RB,DEF,0
Alessio Romagnoli,CB,Italy,0.83,0.64,0.4,0.56,0.69,0.85,0.79,0.65,0.64,0.52,0.54,0.75,0.82,0.83,0.68,0.86,0.86,0.86,0.86,0.85,0.81,0.63,CB,DEF,0
Edmond Tapsoba,CB,Burkina Faso,0.83,0.75,0.54,0.68,0.7,0.85,0.79,0.73,0.76,0.66,0.64,0.74,0.81,0.83,0.69,0.83,0.88,0.78,0.84,0.85,0.83,0.74,CB,DEF,0
Nuno Mendes,LB,Portugal,0.83,0.89,0.58,0.76,0.82,0.78,0.76,0.91,0.88,0.82,0.84,0.82,0.81,0.73,0.81,0.86,0.79,0.8,0.77,0.78,0.72,0.8,LB,DEF,0
Fikayo Tomori,CB,England,0.83,0.84,0.4,0.6,0.68,0.85,0.8,0.81,0.87,0.74,0.71,0.7,0.84,0.81,0.71,0.92,0.87,0.81,0.84,0.84,0.83,0.56,CB,DEF,0
Kieran Trippier,RB,England,0.83,0.67,0.65,0.85,0.78,0.81,0.72,0.71,0.64,0.66,0.79,0.83,0.83,0.64,0.85,0.79,0.83,0.8,0.79,0.81,0.79,0.81,RB,DEF,0
Sven Botman,CB,Holland,0.82,0.6,0.37,0.63,0.65,0.83,0.83,0.49,0.69,0.51,0.34,0.74,0.81,0.9,0.7,0.83,0.83,0.82,0.84,0.82,0.81,0.65,CB,DEF,0
Marc Cucurella,LB,Spain,0.82,0.75,0.6,0.8,0.8,0.78,0.76,0.78,0.73,0.82,0.83,0.82,0.81,0.67,0.88,0.76,0.81,0.78,0.78,0.78,0.68,0.7,LB,DEF,0
Danilo,CB,Brazil,0.82,0.76,0.67,0.74,0.74,0.84,0.77,0.7,0.8,0.63,0.66,0.79,0.8,0.8,0.69,0.85,0.85,0.81,0.84,0.84,0.79,0.82,CB,DEF,0
Diogo Dalot,RB,Portugal,0.82,0.85,0.63,0.77,0.8,0.79,0.79,0.84,0.86,0.76,0.71,0.81,0.8,0.75,0.83,0.88,0.8,0.82,0.76,0.79,0.77,0.82,RB,DEF,0
Alphonso Davies,LB,Canada,0.82,0.95,0.66,0.77,0.84,0.72,0.76,0.96,0.95,0.85,0.83,0.84,0.83,0.75,0.8,0.86,0.73,0.73,0.69,0.78,0.69,0.74,LB,DEF,0
Giovanni Di Lorenzo,RB,Italy,0.82,0.83,0.67,0.73,0.76,0.79,0.8,0.82,0.84,0.76,0.78,0.77,0.78,0.77,0.87,0.85,0.81,0.79,0.79,0.8,0.71,0.72,RB,DEF,0
Denzel Dumfries,RB,Holland,0.82,0.83,0.66,0.73,0.74,0.78,0.88,0.77,0.87,0.69,0.61,0.78,0.81,0.89,0.89,0.94,0.79,0.78,0.76,0.76,0.85,0.7,RB,DEF,0
Nacho Fernández,CB,Spain,0.82,0.73,0.37,0.68,0.71,0.82,0.79,0.69,0.77,0.65,0.76,0.79,0.81,0.79,0.79,0.84,0.83,0.81,0.82,0.82,0.79,0.54,CB,DEF,0
Pau Torres,CB,Spain,0.82,0.7,0.41,0.77,0.7,0.83,0.79,0.66,0.73,0.64,0.52,0.8,0.8,0.78,0.78,0.85,0.83,0.82,0.83,0.83,0.85,0.58,CB,DEF,0
Gayà,LB,Spain,0.82,0.81,0.61,0.77,0.79,0.78,0.74,0.79,0.82,0.82,0.8,0.8,0.82,0.67,0.86,0.73,0.81,0.83,0.79,0.8,0.58,0.62,LB,DEF,0
Matthias Ginter,CB,Germany,0.82,0.54,0.59,0.71,0.66,0.85,0.75,0.54,0.54,0.54,0.5,0.75,0.85,0.84,0.57,0.83,0.86,0.78,0.87,0.85,0.83,0.79,CB,DEF,0
Raphaël Guerreiro,LB,Portugal,0.82,0.63,0.78,0.85,0.88,0.76,0.56,0.78,0.51,0.9,0.9,0.89,0.88,0.49,0.79,0.5,0.78,0.77,0.79,0.85,0.42,0.79,LB,DEF,0
Reece James,RB,England,0.82,0.78,0.72,0.83,0.82,0.82,0.82,0.76,0.79,0.72,0.88,0.84,0.81,0.88,0.67,0.88,0.84,0.8,0.83,0.8,0.74,0.85,RB,DEF,0
Gianluca Mancini,CB,Italy,0.82,0.71,0.45,0.56,0.64,0.83,0.85,0.65,0.75,0.34,0.57,0.76,0.82,0.84,0.8,0.86,0.84,0.79,0.84,0.84,0.82,0.51,CB,DEF,0
Nahuel Molina,RB,Argentina,0.82,0.85,0.67,0.75,0.78,0.78,0.71,0.84,0.85,0.82,0.76,0.8,0.79,0.61,0.86,0.76,0.79,0.77,0.79,0.8,0.64,0.7,RB,DEF,0
Fabian Schär,CB,Switzerland,0.82,0.51,0.68,0.77,0.74,0.84,0.79,0.5,0.51,0.53,0.63,0.77,0.83,0.8,0.77,0.8,0.84,0.8,0.84,0.85,0.82,0.8,CB,DEF,0
Luke Shaw,LB,England,0.82,0.75,0.57,0.82,0.78,0.81,0.78,0.72,0.77,0.66,0.74,0.82,0.8,0.77,0.73,0.84,0.83,0.79,0.8,0.83,0.76,0.8,LB,DEF,0
Chris Smalling,CB,England,0.82,0.54,0.47,0.58,0.61,0.85,0.79,0.4,0.66,0.5,0.37,0.65,0.8,0.84,0.66,0.8,0.86,0.84,0.86,0.83,0.86,0.42,CB,DEF,3
Niklas Süle,CB,Germany,0.82,0.7,0.51,0.67,0.64,0.83,0.79,0.6,0.78,0.34,0.44,0.7,0.81,0.93,0.52,0.79,0.83,0.83,0.83,0.86,0.76,0.78,CB,DEF,0
Destiny Udogie,LB,Italy,0.82,0.88,0.65,0.74,0.8,0.78,0.8,0.86,0.89,0.78,0.7,0.81,0.79,0.78,0.83,0.85,0.79,0.76,0.77,0.81,0.69,0.74,LB,DEF,0
Dayot Upamecano,CB,France,0.82,0.81,0.45,0.63,0.73,0.81,0.85,0.76,0.85,0.66,0.65,0.75,0.81,0.87,0.77,0.85,0.84,0.82,0.79,0.79,0.81,0.64,CB,DEF,0
Micky van de Ven,CB,Holland,0.82,0.88,0.47,0.64,0.71,0.83,0.81,0.81,0.93,0.59,0.49,0.75,0.8,0.84,0.74,0.89,0.84,0.83,0.83,0.83,0.75,0.48,CB,DEF,0
Raphaël Varane,CB,France,0.82,0.73,0.49,0.64,0.69,0.83,0.77,0.69,0.77,0.59,0.39,0.75,0.81,0.84,0.58,0.88,0.86,0.77,0.82,0.83,0.84,0.52,CB,DEF,0
Yeray,CB,Spain,0.81,0.64,0.49,0.7,0.65,0.83,0.76,0.6,0.68,0.55,0.73,0.74,0.83,0.77,0.68,0.78,0.83,0.82,0.83,0.86,0.75,0.69,CB,DEF,0
Waldemar Anton,CB,Germany,0.81,0.69,0.46,0.65,0.67,0.81,0.83,0.61,0.75,0.62,0.58,0.7,0.81,0.85,0.79,0.84,0.81,0.78,0.85,0.79,0.78,0.58,CB,DEF,0
Balde,LB,Spain,0.81,0.91,0.48,0.73,0.78,0.75,0.64,0.9,0.91,0.81,0.74,0.8,0.78,0.63,0.75,0.79,0.8,0.79,0.72,0.75,0.66,0.53,LB,DEF,0
Matteo Darmian,RB,Italy,0.81,0.72,0.62,0.75,0.76,0.8,0.75,0.68,0.76,0.79,0.8,0.8,0.83,0.7,0.79,0.79,0.81,0.8,0.8,0.8,0.76,0.69,RB,DEF,0
Marc Guéhi,CB,England,0.81,0.72,0.39,0.65,0.72,0.82,0.77,0.69,0.75,0.69,0.65,0.76,0.82,0.78,0.73,0.84,0.83,0.82,0.82,0.81,0.79,0.49,CB,DEF,0
Dávid Hancko,CB,Slovakia,0.81,0.78,0.66,0.72,0.74,0.81,0.8,0.77,0.78,0.74,0.55,0.77,0.83,0.82,0.78,0.84,0.81,0.83,0.81,0.79,0.81,0.75,CB,DEF,0
Benjamin Henrichs,RB,Germany,0.81,0.74,0.54,0.76,0.78,0.79,0.74,0.75,0.73,0.75,0.69,0.78,0.8,0.74,0.75,0.78,0.82,0.85,0.78,0.78,0.66,0.62,RB,DEF,0
Piero Hincapié,CB,Ecuador,0.81,0.78,0.4,0.64,0.72,0.81,0.8,0.79,0.78,0.74,0.68,0.74,0.79,0.77,0.8,0.88,0.83,0.86,0.8,0.78,0.78,0.5,CB,DEF,0
Ferdi Kadıoğlu,LB,Turkey,0.81,0.88,0.65,0.75,0.85,0.75,0.76,0.9,0.87,0.9,0.88,0.83,0.78,0.73,0.91,0.75,0.77,0.78,0.77,0.73,0.62,0.69,LB,DEF,0
Presnel Kimpembe,CB,France,0.81,0.74,0.43,0.67,0.69,0.81,0.82,0.72,0.75,0.68,0.59,0.77,0.78,0.86,0.65,0.89,0.82,0.81,0.8,0.8,0.79,0.7,CB,DEF,0
Ezri Konsa,CB,England,0.81,0.76,0.48,0.71,0.76,0.83,0.78,0.72,0.8,0.67,0.68,0.78,0.83,0.78,0.79,0.85,0.84,0.8,0.84,0.82,0.78,0.64,CB,DEF,0
Odilon Kossounou,CB,Côte d'Ivoire,0.81,0.8,0.32,0.64,0.67,0.82,0.8,0.74,0.84,0.62,0.56,0.69,0.77,0.82,0.76,0.81,0.84,0.82,0.82,0.82,0.8,0.52,CB,DEF,0
Iñigo Martínez,CB,Spain,0.81,0.71,0.56,0.67,0.61,0.81,0.8,0.7,0.72,0.66,0.6,0.73,0.8,0.82,0.69,0.86,0.81,0.82,0.81,0.8,0.8,0.81,CB,DEF,0
Noussair Mazraoui,RB,Morocco,0.81,0.78,0.66,0.77,0.83,0.77,0.71,0.83,0.73,0.86,0.74,0.84,0.79,0.68,0.76,0.78,0.77,0.81,0.76,0.81,0.65,0.68,RB,DEF,0
Nicolás Otamendi,CB,Argentina,0.81,0.6,0.57,0.64,0.59,0.83,0.83,0.54,0.64,0.58,0.58,0.66,0.8,0.81,0.81,0.87,0.83,0.79,0.84,0.84,0.79,0.69,CB,DEF,0
David Raum,LB,Germany,0.81,0.85,0.61,0.81,0.78,0.73,0.78,0.86,0.84,0.77,0.77,0.79,0.75,0.75,0.91,0.81,0.77,0.76,0.73,0.73,0.6,0.64,LB,DEF,0
Stefan Savić,CB,Montenegro,0.81,0.63,0.35,0.57,0.57,0.83,0.79,0.57,0.68,0.57,0.53,0.66,0.8,0.82,0.69,0.84,0.84,0.81,0.83,0.83,0.83,0.45,CB,DEF,0
Milan Škriniar,CB,Slovakia,0.81,0.57,0.45,0.6,0.65,0.83,0.8,0.52,0.61,0.47,0.56,0.7,0.81,0.87,0.66,0.82,0.85,0.79,0.84,0.83,0.78,0.5,CB,DEF,0
Lucas Vázquez,RB,Spain,0.81,0.81,0.74,0.8,0.81,0.74,0.69,0.81,0.81,0.81,0.82,0.8,0.81,0.56,0.92,0.7,0.75,0.74,0.76,0.76,0.58,0.8,RB,DEF,0
Vivian,CB,Spain,0.81,0.79,0.48,0.57,0.69,0.82,0.81,0.76,0.82,0.64,0.73,0.72,0.83,0.81,0.77,0.86,0.85,0.79,0.81,0.85,0.73,0.62,CB,DEF,0
Jordi Alba,LB,Spain,0.8,0.82,0.7,0.8,0.81,0.72,0.69,0.84,0.81,0.83,0.84,0.82,0.79,0.58,0.84,0.76,0.72,0.73,0.68,0.78,0.7,0.64,LB,DEF,0
Toby Alderweireld,CB,Belgium,0.8,0.5,0.61,0.74,0.66,0.81,0.82,0.42,0.56,0.51,0.6,0.73,0.8,0.89,0.72,0.79,0.81,0.79,0.84,0.8,0.79,0.79,CB,DEF,0
Joachim Andersen,CB,Denmark,0.8,0.52,0.57,0.72,0.66,0.79,0.84,0.49,0.54,0.47,0.5,0.7,0.8,0.87,0.75,0.81,0.79,0.78,0.8,0.8,0.78,0.75,CB,DEF,0
Fredrik Aursnes,RB,Norway,0.8,0.76,0.66,0.77,0.8,0.76,0.81,0.75,0.76,0.82,0.77,0.82,0.83,0.77,0.92,0.79,0.79,0.75,0.78,0.76,0.65,0.69,RB,DEF,0
Gonçalo Inácio,CB,Portugal,0.8,0.8,0.37,0.64,0.71,0.81,0.79,0.79,0.81,0.73,0.55,0.73,0.77,0.79,0.78,0.85,0.82,0.79,0.82,0.78,0.84,0.67,CB,DEF,0
Daley Blind,CB,Holland,0.8,0.36,0.62,0.83,0.77,0.83,0.7,0.38,0.34,0.69,0.72,0.82,0.82,0.73,0.63,0.72,0.82,0.82,0.85,0.86,0.79,0.74,CB,DEF,0
Alessandro Buongiorno,CB,Italy,0.8,0.65,0.45,0.69,0.65,0.82,0.76,0.61,0.68,0.57,0.61,0.71,0.78,0.77,0.7,0.81,0.81,0.78,0.85,0.84,0.79,0.65,CB,DEF,0
Davide Calabria,RB,Italy,0.8,0.78,0.57,0.7,0.76,0.79,0.71,0.8,0.77,0.8,0.81,0.77,0.78,0.62,0.8,0.74,0.81,0.8,0.81,0.8,0.64,0.68,RB,DEF,0
Jonathan Clauss,RB,France,0.8,0.88,0.69,0.76,0.78,0.73,0.69,0.85,0.91,0.83,0.77,0.79,0.82,0.63,0.82,0.76,0.76,0.74,0.72,0.73,0.62,0.77,RB,DEF,0
Kevin Danso,CB,Austria,0.8,0.75,0.32,0.57,0.62,0.8,0.85,0.65,0.83,0.55,0.46,0.68,0.79,0.9,0.75,0.89,0.82,0.77,0.78,0.78,0.82,0.49,CB,DEF,0
De Marcos,RB,Spain,0.8,0.79,0.64,0.74,0.75,0.77,0.78,0.79,0.79,0.75,0.77,0.79,0.78,0.75,0.82,0.78,0.8,0.76,0.79,0.77,0.61,0.73,RB,DEF,0
Eric Dier,CB,England,0.8,0.58,0.63,0.7,0.63,0.81,0.81,0.39,0.73,0.34,0.47,0.66,0.75,0.9,0.58,0.81,0.78,0.79,0.85,0.79,0.83,0.81,CB,DEF,0
Pervis Estupiñán,LB,Ecuador,0.8,0.78,0.57,0.75,0.79,0.77,0.75,0.78,0.78,0.74,0.73,0.82,0.77,0.73,0.81,0.8,0.81,0.76,0.75,0.77,0.7,0.67,LB,DEF,0
Juan Foyth,RB,Argentina,0.8,0.71,0.46,0.71,0.72,0.81,0.77,0.7,0.72,0.68,0.71,0.78,0.78,0.77,0.72,0.84,0.82,0.8,0.81,0.8,0.78,0.56,RB,DEF,0
Javi Galán,LB,Spain,0.8,0.79,0.56,0.74,0.79,0.77,0.72,0.81,0.77,0.75,0.76,0.8,0.76,0.64,0.77,0.81,0.8,0.81,0.77,0.74,0.74,0.72,LB,DEF,0
Joe Gomez,CB,England,0.8,0.82,0.28,0.71,0.72,0.8,0.79,0.75,0.87,0.64,0.62,0.75,0.78,0.81,0.75,0.86,0.82,0.79,0.79,0.8,0.75,0.46,CB,DEF,0
Nemanja Gudelj,CB,Serbia,0.8,0.54,0.73,0.78,0.7,0.79,0.85,0.52,0.55,0.61,0.5,0.79,0.79,0.88,0.8,0.82,0.8,0.79,0.79,0.8,0.77,0.89,CB,DEF,0
Malo Gusto,RB,France,0.8,0.88,0.49,0.75,0.78,0.73,0.75,0.87,0.88,0.77,0.77,0.77,0.76,0.68,0.87,0.76,0.77,0.75,0.73,0.76,0.55,0.62,RB,DEF,0
Miguel Gutiérrez,LB,Spain,0.8,0.81,0.64,0.76,0.8,0.75,0.72,0.83,0.8,0.81,0.75,0.81,0.79,0.67,0.83,0.78,0.77,0.75,0.76,0.74,0.65,0.7,LB,DEF,0
Danilo Pereira,CB,Portugal,0.8,0.5,0.63,0.7,0.7,0.8,0.84,0.4,0.59,0.52,0.48,0.75,0.8,0.88,0.77,0.81,0.8,0.69,0.81,0.8,0.83,0.75,CB,DEF,0
Ibañez,CB,Brazil,0.8,0.85,0.32,0.45,0.6,0.81,0.82,0.85,0.85,0.69,0.62,0.75,0.76,0.8,0.85,0.92,0.81,0.86,0.78,0.85,0.79,0.45,CB,DEF,0
David López,CB,Spain,0.8,0.45,0.6,0.71,0.66,0.82,0.75,0.48,0.43,0.4,0.54,0.76,0.78,0.8,0.58,0.8,0.82,0.78,0.82,0.82,0.82,0.75,CB,DEF,0
Harry Maguire,CB,England,0.8,0.37,0.57,0.7,0.65,0.8,0.82,0.37,0.37,0.33,0.33,0.71,0.78,0.89,0.66,0.81,0.8,0.7,0.8,0.82,0.84,0.82,CB,DEF,3
Reinildo,LB,Mozambique,0.8,0.84,0.55,0.68,0.75,0.78,0.79,0.82,0.85,0.77,0.71,0.76,0.77,0.75,0.83,0.88,0.8,0.79,0.77,0.77,0.77,0.6,LB,DEF,0
Facundo Medina,CB,Argentina,0.8,0.73,0.36,0.69,0.72,0.8,0.79,0.69,0.77,0.62,0.67,0.76,0.81,0.81,0.69,0.83,0.82,0.81,0.79,0.8,0.74,0.27,CB,DEF,0
Daniel Muñoz,RB,Colombia,0.8,0.84,0.66,0.72,0.76,0.75,0.82,0.82,0.85,0.78,0.78,0.76,0.78,0.75,0.88,0.88,0.78,0.76,0.71,0.76,0.76,0.7,RB,DEF,0
Jesús Navas,RB,Spain,0.8,0.81,0.68,0.79,0.8,0.76,0.55,0.83,0.79,0.81,0.82,0.81,0.76,0.34,0.78,0.67,0.76,0.75,0.76,0.77,0.72,0.74,RB,DEF,0
