Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,att_cluster
Raphinha,RW,Brazil,0.84,0.91,0.79,0.78,0.86,0.53,0.73,0.9,0.91,0.88,0.79,0.85,0.84,0.65,0.86,0.83,0.54,0.38,0.47,0.55,0.74,0.83,RW,ATT,3
Luis Díaz,LW,Colombia,0.84,0.9,0.8,0.75,0.87,0.39,0.75,0.91,0.9,0.88,0.77,0.87,0.83,0.69,0.87,0.8,0.42,0.34,0.35,0.28,0.64,0.84,LW,ATT,3
Artem Dovbyk,ST,Ukraine,0.84,0.84,0.85,0.69,0.79,0.34,0.81,0.81,0.86,0.74,0.72,0.79,0.8,0.86,0.75,0.95,0.28,0.23,0.32,0.25,0.86,0.89,ST,ATT,3
Jack Grealish,LW,England,0.84,0.76,0.76,0.82,0.88,0.53,0.73,0.78,0.75,0.84,0.85,0.9,0.82,0.71,0.83,0.7,0.54,0.48,0.58,0.49,0.48,0.76,LW,ATT,3
Serhou Guirassy,ST,Guinea,0.84,0.69,0.86,0.71,0.8,0.39,0.79,0.66,0.71,0.67,0.77,0.84,0.85,0.85,0.71,0.87,0.29,0.34,0.42,0.29,0.83,0.87,ST,ATT,3
Viktor Gyökeres,ST,Sweden,0.84,0.9,0.83,0.67,0.8,0.36,0.91,0.88,0.92,0.77,0.77,0.82,0.84,0.91,0.93,0.95,0.34,0.16,0.34,0.28,0.81,0.85,ST,ATT,3
Dušan Vlahović,ST,Serbia,0.84,0.78,0.84,0.69,0.79,0.29,0.83,0.76,0.79,0.63,0.53,0.84,0.86,0.87,0.77,0.92,0.26,0.24,0.19,0.24,0.83,0.84,ST,ATT,3
Domenico Berardi,RW,Italy,0.83,0.79,0.81,0.78,0.85,0.36,0.7,0.8,0.79,0.92,0.86,0.84,0.84,0.61,0.76,0.73,0.3,0.3,0.42,0.25,0.62,0.8,RW,ATT,3
Yannick Carrasco,LW,Belgium,0.83,0.88,0.81,0.8,0.85,0.59,0.67,0.87,0.88,0.86,0.7,0.84,0.8,0.63,0.76,0.74,0.64,0.61,0.54,0.57,0.56,0.84,LW,ATT,3
Youssef En-Nesyri,ST,Morocco,0.83,0.82,0.82,0.63,0.77,0.36,0.8,0.8,0.84,0.67,0.39,0.82,0.82,0.79,0.83,0.93,0.31,0.27,0.27,0.33,0.9,0.83,ST,ATT,3
Cody Gakpo,ST,Holland,0.83,0.82,0.83,0.78,0.83,0.48,0.75,0.84,0.81,0.75,0.67,0.85,0.81,0.78,0.76,0.91,0.48,0.31,0.46,0.45,0.81,0.86,ST,ATT,3
Olivier Giroud,ST,France,0.83,0.45,0.84,0.74,0.75,0.42,0.81,0.42,0.48,0.55,0.53,0.86,0.86,0.93,0.61,0.84,0.37,0.2,0.37,0.42,0.89,0.88,ST,ATT,1
Kai Havertz,ST,Germany,0.83,0.77,0.81,0.8,0.82,0.49,0.72,0.74,0.79,0.75,0.54,0.86,0.84,0.75,0.77,0.86,0.47,0.41,0.45,0.43,0.83,0.79,ST,ATT,3
Mauro Icardi,ST,Argentina,0.83,0.68,0.83,0.71,0.76,0.4,0.75,0.66,0.69,0.68,0.71,0.81,0.84,0.79,0.71,0.87,0.37,0.2,0.4,0.29,0.9,0.85,ST,ATT,3
Gabriel Martinelli,LW,Brazil,0.83,0.89,0.78,0.75,0.85,0.46,0.72,0.91,0.88,0.87,0.81,0.84,0.82,0.63,0.82,0.82,0.44,0.43,0.44,0.39,0.72,0.77,LW,ATT,3
Morata,ST,Spain,0.83,0.82,0.81,0.73,0.8,0.31,0.79,0.81,0.83,0.74,0.63,0.83,0.84,0.81,0.79,0.94,0.14,0.2,0.37,0.26,0.87,0.83,ST,ATT,3
Gerard Moreno,ST,Spain,0.83,0.77,0.85,0.77,0.81,0.46,0.72,0.77,0.77,0.77,0.72,0.82,0.82,0.73,0.77,0.87,0.41,0.41,0.44,0.42,0.82,0.82,ST,ATT,3
Pedro Gonçalves,LW,Portugal,0.83,0.78,0.82,0.84,0.84,0.63,0.68,0.8,0.76,0.85,0.87,0.84,0.84,0.62,0.84,0.72,0.65,0.48,0.63,0.71,0.59,0.78,LW,ATT,3
Christian Pulisic,RW,United States,0.83,0.88,0.82,0.78,0.86,0.37,0.63,0.91,0.85,0.9,0.86,0.86,0.84,0.54,0.76,0.69,0.32,0.48,0.38,0.33,0.5,0.81,RW,ATT,3
Marcus Thuram,ST,France,0.83,0.87,0.81,0.77,0.82,0.5,0.84,0.84,0.89,0.78,0.66,0.8,0.85,0.88,0.83,0.94,0.49,0.42,0.44,0.5,0.8,0.84,ST,ATT,3
Leandro Trossard,LW,Belgium,0.83,0.82,0.81,0.8,0.85,0.3,0.61,0.87,0.77,0.92,0.85,0.84,0.8,0.57,0.76,0.75,0.31,0.18,0.3,0.18,0.65,0.81,LW,ATT,3
Mattia Zaccagni,LW,Italy,0.83,0.87,0.77,0.75,0.88,0.57,0.66,0.9,0.85,0.93,0.87,0.87,0.83,0.63,0.75,0.79,0.58,0.52,0.55,0.58,0.66,0.78,LW,ATT,3
Duván Zapata,ST,Colombia,0.83,0.73,0.82,0.64,0.78,0.35,0.88,0.75,0.71,0.67,0.59,0.81,0.78,0.95,0.78,0.95,0.24,0.22,0.44,0.2,0.87,0.88,ST,ATT,3
Pierre-Emerick Aubameyang,ST,Gabon,0.82,0.84,0.83,0.72,0.78,0.35,0.63,0.8,0.87,0.7,0.67,0.82,0.83,0.7,0.62,0.83,0.29,0.36,0.2,0.44,0.76,0.82,ST,ATT,3
Victor Boniface,ST,Nigeria,0.82,0.73,0.83,0.66,0.8,0.38,0.82,0.7,0.75,0.68,0.6,0.82,0.78,0.9,0.67,0.88,0.31,0.26,0.38,0.33,0.78,0.91,ST,ATT,3
Ángel Correa,ST,Argentina,0.82,0.85,0.84,0.77,0.86,0.5,0.75,0.86,0.85,0.9,0.89,0.85,0.82,0.68,0.84,0.82,0.53,0.44,0.42,0.48,0.71,0.83,ST,ATT,3
Edin Džeko,ST,Bosnia and Herzegovina,0.82,0.57,0.82,0.73,0.76,0.45,0.76,0.53,0.6,0.62,0.55,0.81,0.83,0.84,0.68,0.77,0.28,0.16,0.54,0.5,0.86,0.85,ST,ATT,3
Gabriel Jesus,ST,Brazil,0.82,0.83,0.8,0.75,0.88,0.39,0.77,0.86,0.81,0.92,0.9,0.87,0.88,0.72,0.81,0.88,0.3,0.28,0.45,0.32,0.77,0.83,ST,ATT,3
Niclas Füllkrug,ST,Germany,0.82,0.63,0.84,0.71,0.75,0.43,0.81,0.63,0.63,0.64,0.67,0.79,0.83,0.86,0.68,0.89,0.46,0.3,0.41,0.24,0.89,0.89,ST,ATT,3
Anthony Gordon,LW,England,0.82,0.91,0.78,0.76,0.81,0.49,0.71,0.89,0.92,0.79,0.7,0.81,0.83,0.61,0.87,0.75,0.55,0.48,0.48,0.39,0.59,0.78,LW,ATT,3
Ciro Immobile,ST,Italy,0.82,0.82,0.83,0.67,0.78,0.39,0.73,0.8,0.83,0.73,0.83,0.79,0.82,0.73,0.69,0.86,0.33,0.32,0.34,0.4,0.8,0.85,ST,ATT,3
Randal Kolo Muani,ST,France,0.82,0.9,0.8,0.71,0.81,0.38,0.67,0.9,0.9,0.84,0.73,0.81,0.8,0.74,0.73,0.9,0.33,0.32,0.32,0.38,0.8,0.83,ST,ATT,3
Alexandre Lacazette,ST,France,0.82,0.7,0.84,0.76,0.83,0.44,0.75,0.68,0.72,0.8,0.83,0.84,0.83,0.79,0.68,0.83,0.45,0.32,0.39,0.42,0.76,0.85,ST,ATT,3
Ademola Lookman,ST,Nigeria,0.82,0.84,0.81,0.71,0.86,0.31,0.66,0.88,0.81,0.91,0.85,0.86,0.85,0.64,0.69,0.79,0.23,0.24,0.27,0.32,0.67,0.81,ST,ATT,3
Romelu Lukaku,ST,Belgium,0.82,0.79,0.82,0.73,0.74,0.38,0.82,0.71,0.86,0.59,0.52,0.75,0.8,0.94,0.64,0.93,0.4,0.3,0.3,0.27,0.82,0.86,ST,ATT,3
Aleksandar Mitrović,ST,Serbia,0.82,0.64,0.82,0.62,0.73,0.28,0.88,0.62,0.66,0.6,0.6,0.8,0.82,0.91,0.79,0.91,0.24,0.13,0.25,0.14,0.9,0.86,ST,ATT,4
Savinho,LW,Brazil,0.82,0.88,0.72,0.77,0.84,0.3,0.53,0.9,0.87,0.9,0.76,0.83,0.77,0.45,0.73,0.62,0.3,0.36,0.26,0.25,0.45,0.69,LW,ATT,7
Darwin Núñez,ST,Uruguay,0.82,0.9,0.8,0.72,0.78,0.46,0.86,0.88,0.92,0.74,0.66,0.79,0.82,0.85,0.88,0.94,0.47,0.36,0.39,0.44,0.8,0.86,ST,ATT,3
Oyarzabal,ST,Spain,0.82,0.77,0.83,0.81,0.82,0.42,0.63,0.78,0.76,0.77,0.77,0.84,0.82,0.57,0.79,0.77,0.32,0.3,0.55,0.29,0.75,0.84,ST,ATT,3
Patrik Schick,ST,Czech Republic,0.82,0.74,0.81,0.71,0.81,0.37,0.76,0.74,0.74,0.82,0.67,0.82,0.83,0.83,0.68,0.9,0.29,0.19,0.44,0.25,0.84,0.82,ST,ATT,3
Alexander Sørloth,ST,Norway,0.82,0.79,0.82,0.7,0.76,0.36,0.85,0.74,0.83,0.57,0.55,0.82,0.8,0.9,0.82,0.92,0.23,0.21,0.39,0.36,0.82,0.82,ST,ATT,3
Luis Suárez,ST,Uruguay,0.82,0.64,0.85,0.78,0.77,0.41,0.75,0.64,0.64,0.66,0.71,0.8,0.85,0.81,0.53,0.79,0.38,0.35,0.35,0.35,0.83,0.85,ST,ATT,3
Marco Asensio,RW,Spain,0.81,0.76,0.79,0.81,0.83,0.43,0.63,0.78,0.74,0.78,0.76,0.86,0.8,0.63,0.74,0.71,0.42,0.39,0.4,0.45,0.57,0.81,RW,ATT,3
Jonathan David,ST,Canada,0.81,0.82,0.81,0.71,0.78,0.34,0.75,0.8,0.84,0.75,0.71,0.8,0.82,0.77,0.85,0.88,0.29,0.19,0.29,0.33,0.77,0.79,ST,ATT,3
Richarlison,ST,Brazil,0.81,0.77,0.8,0.73,0.8,0.53,0.78,0.79,0.76,0.82,0.65,0.82,0.81,0.75,0.78,0.89,0.58,0.48,0.43,0.46,0.84,0.83,ST,ATT,3
Luuk de Jong,ST,Holland,0.81,0.44,0.8,0.73,0.73,0.57,0.8,0.48,0.4,0.52,0.55,0.83,0.84,0.85,0.79,0.92,0.55,0.47,0.59,0.45,0.93,0.83,ST,ATT,3
Andrej Kramarić,ST,Croatia,0.81,0.71,0.83,0.79,0.84,0.33,0.73,0.73,0.7,0.83,0.84,0.85,0.84,0.69,0.82,0.75,0.25,0.26,0.35,0.29,0.69,0.82,ST,ATT,3
Takefusa Kubo,RW,Japan,0.81,0.84,0.76,0.76,0.83,0.4,0.6,0.89,0.79,0.86,0.83,0.84,0.79,0.58,0.74,0.69,0.43,0.46,0.4,0.28,0.49,0.73,RW,ATT,3
Arkadiusz Milik,ST,Poland,0.81,0.56,0.82,0.72,0.77,0.4,0.72,0.48,0.62,0.69,0.62,0.83,0.82,0.8,0.58,0.8,0.34,0.32,0.35,0.36,0.85,0.84,ST,ATT,3
Dominic Solanke,ST,England,0.81,0.75,0.81,0.66,0.78,0.29,0.83,0.69,0.79,0.67,0.68,0.79,0.82,0.83,0.87,0.89,0.25,0.22,0.22,0.22,0.85,0.82,ST,ATT,4
Deniz Undav,ST,Germany,0.81,0.67,0.82,0.75,0.8,0.33,0.78,0.67,0.67,0.72,0.87,0.83,0.84,0.8,0.74,0.81,0.37,0.29,0.25,0.18,0.75,0.84,ST,ATT,3
Callum Wilson,ST,England,0.81,0.78,0.82,0.67,0.79,0.42,0.75,0.77,0.79,0.75,0.72,0.83,0.85,0.76,0.7,0.87,0.4,0.27,0.39,0.4,0.79,0.8,ST,ATT,3
Lamine Yamal,RW,Spain,0.81,0.82,0.75,0.76,0.82,0.23,0.48,0.84,0.81,0.87,0.74,0.82,0.79,0.45,0.57,0.55,0.2,0.28,0.23,0.18,0.33,0.77,RW,ATT,7
Marko Arnautović,ST,Austria,0.8,0.7,0.79,0.78,0.79,0.44,0.78,0.7,0.7,0.69,0.78,0.84,0.77,0.82,0.71,0.86,0.42,0.39,0.4,0.38,0.79,0.8,ST,ATT,3
Simon Banza,ST,Congo DR,0.8,0.75,0.8,0.56,0.76,0.36,0.77,0.73,0.76,0.71,0.66,0.82,0.8,0.81,0.73,0.9,0.23,0.18,0.42,0.3,0.84,0.8,ST,ATT,3
Bradley Barcola,LW,France,0.8,0.88,0.74,0.75,0.81,0.34,0.64,0.87,0.88,0.86,0.64,0.8,0.79,0.59,0.73,0.77,0.37,0.28,0.25,0.29,0.69,0.74,LW,ATT,3
Harvey Barnes,LW,England,0.8,0.85,0.78,0.75,0.81,0.43,0.68,0.84,0.85,0.78,0.77,0.82,0.83,0.71,0.74,0.72,0.43,0.4,0.44,0.43,0.46,0.82,LW,ATT,3
Denis Bouanga,LW,Gabon,0.8,0.85,0.81,0.74,0.79,0.38,0.79,0.83,0.86,0.85,0.71,0.78,0.82,0.81,0.83,0.88,0.25,0.23,0.46,0.38,0.71,0.85,LW,ATT,3
Samuel Chukwueze,RW,Nigeria,0.8,0.88,0.74,0.74,0.83,0.36,0.61,0.91,0.86,0.85,0.83,0.82,0.77,0.62,0.67,0.68,0.32,0.33,0.4,0.33,0.44,0.78,RW,ATT,3
Evanilson,ST,Brazil,0.8,0.76,0.78,0.65,0.78,0.37,0.8,0.77,0.76,0.69,0.69,0.81,0.83,0.81,0.8,0.89,0.41,0.26,0.22,0.37,0.76,0.77,ST,ATT,3
Jérémy Doku,LW,Belgium,0.8,0.92,0.72,0.73,0.86,0.3,0.68,0.95,0.89,0.93,0.92,0.81,0.77,0.73,0.63,0.72,0.28,0.25,0.4,0.18,0.37,0.77,LW,ATT,7
João Félix,LW,Portugal,0.8,0.8,0.78,0.77,0.84,0.4,0.67,0.82,0.79,0.88,0.84,0.82,0.8,0.62,0.75,0.77,0.42,0.35,0.3,0.4,0.69,0.8,LW,ATT,3
Nicolás González,RW,Argentina,0.8,0.85,0.76,0.73,0.83,0.45,0.62,0.83,0.86,0.8,0.78,0.85,0.76,0.52,0.73,0.79,0.46,0.39,0.38,0.39,0.8,0.75,RW,ATT,3
Albert Guðmundsson,ST,Iceland,0.8,0.87,0.79,0.7,0.83,0.37,0.72,0.86,0.87,0.83,0.78,0.83,0.79,0.75,0.77,0.87,0.39,0.43,0.25,0.29,0.74,0.79,ST,ATT,3
Bryan Mbeumo,RW,Cameroon,0.8,0.84,0.8,0.74,0.8,0.49,0.76,0.87,0.82,0.9,0.79,0.78,0.76,0.71,0.8,0.81,0.41,0.37,0.53,0.52,0.63,0.83,RW,ATT,3
Vedat Muriqi,ST,Kosovo,0.8,0.53,0.82,0.63,0.73,0.29,0.82,0.4,0.64,0.42,0.34,0.83,0.82,0.91,0.71,0.82,0.25,0.22,0.23,0.18,0.84,0.82,ST,ATT,1
Vangelis Pavlidis,ST,Greece,0.8,0.75,0.82,0.67,0.78,0.44,0.82,0.76,0.75,0.71,0.77,0.78,0.79,0.81,0.86,0.82,0.44,0.37,0.44,0.3,0.77,0.83,ST,ATT,3
Matteo Politano,RW,Italy,0.8,0.8,0.78,0.78,0.83,0.42,0.54,0.81,0.79,0.89,0.88,0.83,0.81,0.4,0.75,0.53,0.29,0.29,0.63,0.38,0.4,0.78,RW,ATT,3
Mehdi Taremi,ST,Iran,0.8,0.78,0.79,0.75,0.81,0.38,0.73,0.79,0.77,0.74,0.65,0.84,0.82,0.8,0.8,0.8,0.41,0.25,0.38,0.23,0.75,0.75,ST,ATT,3
Ivan Toney,ST,England,0.8,0.77,0.81,0.71,0.75,0.51,0.81,0.76,0.78,0.74,0.67,0.78,0.78,0.81,0.76,0.91,0.51,0.39,0.45,0.52,0.81,0.82,ST,ATT,3
Ferran Torres,LW,Spain,0.8,0.84,0.78,0.76,0.81,0.35,0.68,0.87,0.81,0.84,0.78,0.8,0.82,0.69,0.72,0.85,0.24,0.28,0.35,0.34,0.75,0.79,LW,ATT,3
André Silva,ST,Portugal,0.8,0.74,0.8,0.71,0.81,0.46,0.77,0.76,0.72,0.77,0.75,0.83,0.83,0.77,0.77,0.9,0.4,0.34,0.36,0.59,0.83,0.82,ST,ATT,3
Ezequiel Ávila,ST,Argentina,0.79,0.77,0.8,0.65,0.77,0.45,0.85,0.74,0.79,0.71,0.86,0.77,0.78,0.86,0.76,0.92,0.46,0.41,0.38,0.38,0.82,0.85,ST,ATT,3
Johan Bakayoko,RW,Belgium,0.79,0.86,0.71,0.7,0.82,0.33,0.63,0.88,0.85,0.86,0.69,0.81,0.78,0.69,0.67,0.7,0.35,0.27,0.24,0.33,0.58,0.7,RW,ATT,3
Steven Berghuis,RW,Holland,0.79,0.72,0.8,0.82,0.79,0.39,0.66,0.79,0.66,0.82,0.75,0.82,0.77,0.63,0.69,0.6,0.37,0.3,0.43,0.37,0.48,0.82,RW,ATT,3
Steven Bergwijn,LW,Holland,0.79,0.8,0.76,0.74,0.82,0.41,0.7,0.82,0.78,0.76,0.9,0.82,0.79,0.79,0.62,0.75,0.36,0.32,0.47,0.33,0.6,0.83,LW,ATT,3
Brian Brobbey,ST,Holland,0.79,0.85,0.76,0.57,0.73,0.3,0.8,0.82,0.88,0.65,0.88,0.78,0.79,0.92,0.6,0.92,0.23,0.24,0.28,0.26,0.71,0.79,ST,ATT,4
Matheus Cunha,ST,Brazil,0.79,0.84,0.78,0.76,0.83,0.44,0.75,0.82,0.86,0.83,0.74,0.83,0.79,0.73,0.8,0.81,0.41,0.39,0.43,0.42,0.68,0.82,ST,ATT,3
Valentin Castellanos,ST,Argentina,0.79,0.72,0.79,0.69,0.75,0.42,0.77,0.73,0.72,0.7,0.66,0.77,0.79,0.68,0.86,0.84,0.37,0.39,0.43,0.29,0.82,0.79,ST,ATT,3
Romain Del Castillo,RW,France,0.79,0.84,0.76,0.78,0.81,0.42,0.65,0.79,0.88,0.9,0.81,0.8,0.72,0.62,0.66,0.74,0.48,0.45,0.32,0.35,0.63,0.78,RW,ATT,3
Ermedin Demirović,ST,Bosnia and Herzegovina,0.79,0.69,0.81,0.72,0.77,0.41,0.79,0.69,0.69,0.7,0.72,0.8,0.81,0.77,0.86,0.78,0.39,0.42,0.38,0.36,0.69,0.84,ST,ATT,3
Boulaye Dia,ST,Senegal,0.79,0.81,0.8,0.62,0.77,0.27,0.75,0.78,0.83,0.73,0.7,0.77,0.78,0.81,0.7,0.87,0.17,0.14,0.28,0.23,0.74,0.84,ST,ATT,4
Hugo Duro,ST,Spain,0.79,0.73,0.79,0.67,0.76,0.47,0.75,0.72,0.74,0.69,0.69,0.77,0.79,0.77,0.75,0.88,0.4,0.4,0.44,0.5,0.82,0.79,ST,ATT,3
Marcus Edwards,RW,England,0.79,0.85,0.7,0.72,0.85,0.3,0.48,0.87,0.84,0.92,0.9,0.84,0.78,0.39,0.73,0.53,0.28,0.24,0.32,0.3,0.37,0.7,RW,ATT,7
Santiago Giménez,ST,Mexico,0.79,0.79,0.8,0.7,0.76,0.49,0.75,0.77,0.8,0.75,0.7,0.77,0.74,0.76,0.68,0.81,0.39,0.22,0.55,0.51,0.8,0.83,ST,ATT,3
Guruzeta,ST,Spain,0.79,0.75,0.79,0.71,0.78,0.42,0.8,0.75,0.75,0.77,0.73,0.81,0.79,0.82,0.8,0.89,0.35,0.36,0.42,0.37,0.8,0.82,ST,ATT,3
Sébastien Haller,ST,Côte d'Ivoire,0.79,0.56,0.79,0.63,0.75,0.51,0.73,0.54,0.57,0.66,0.59,0.81,0.82,0.84,0.54,0.84,0.61,0.56,0.4,0.36,0.83,0.83,ST,ATT,3
Nicolas Jackson,ST,Senegal,0.79,0.83,0.78,0.65,0.8,0.4,0.73,0.82,0.84,0.75,0.77,0.79,0.77,0.76,0.76,0.89,0.37,0.33,0.35,0.35,0.77,0.78,ST,ATT,3
Luka Jović,ST,Serbia,0.79,0.75,0.79,0.68,0.79,0.3,0.72,0.76,0.74,0.74,0.81,0.8,0.8,0.79,0.63,0.9,0.26,0.16,0.25,0.23,0.82,0.81,ST,ATT,4
İrfan Can Kahveci,RW,Turkey,0.79,0.73,0.79,0.79,0.8,0.58,0.66,0.74,0.73,0.77,0.82,0.81,0.74,0.64,0.68,0.6,0.61,0.56,0.56,0.62,0.52,0.81,RW,ATT,3
Erik Lamela,RW,Argentina,0.79,0.76,0.77,0.78,0.82,0.54,0.68,0.77,0.76,0.8,0.75,0.83,0.78,0.61,0.67,0.72,0.52,0.54,0.52,0.55,0.6,0.81,RW,ATT,3
Noa Lang,LW,Holland,0.79,0.82,0.75,0.72,0.84,0.5,0.7,0.86,0.79,0.88,0.84,0.84,0.78,0.65,0.8,0.71,0.51,0.43,0.47,0.57,0.49,0.72,LW,ATT,3
Pedro Neto,RW,Portugal,0.79,0.88,0.74,0.72,0.83,0.31,0.59,0.89,0.87,0.9,0.9,0.81,0.74,0.55,0.7,0.68,0.23,0.17,0.32,0.41,0.49,0.77,RW,ATT,7
Dodi Lukébakio,RW,Belgium,0.79,0.84,0.78,0.7,0.82,0.31,0.59,0.82,0.86,0.77,0.71,0.83,0.74,0.68,0.64,0.74,0.29,0.24,0.31,0.26,0.55,0.83,RW,ATT,3
