Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,mid_cluster
Hakan Çalhanoğlu,CDM,Turkey,0.86,0.71,0.8,0.87,0.85,0.79,0.76,0.74,0.68,0.83,0.8,0.88,0.86,0.72,0.81,0.76,0.81,0.78,0.8,0.82,0.65,0.86,CDM,MID,5
Julian Brandt,CAM,Germany,0.85,0.71,0.79,0.85,0.86,0.5,0.7,0.69,0.72,0.83,0.83,0.87,0.86,0.72,0.85,0.69,0.45,0.56,0.49,0.56,0.54,0.82,CAM,MID,5
Bruno Guimarães,CDM,Brazil,0.85,0.68,0.75,0.83,0.84,0.79,0.83,0.69,0.68,0.78,0.84,0.85,0.84,0.79,0.88,0.77,0.82,0.79,0.78,0.8,0.66,0.79,CDM,MID,5
N'Golo Kanté,CDM,France,0.85,0.76,0.65,0.73,0.8,0.85,0.78,0.79,0.74,0.78,0.93,0.81,0.87,0.72,0.82,0.73,0.9,0.86,0.88,0.88,0.54,0.71,CDM,MID,5
Vitinha,CM,Portugal,0.85,0.72,0.77,0.84,0.87,0.73,0.68,0.75,0.69,0.91,0.88,0.87,0.85,0.59,0.81,0.66,0.77,0.68,0.74,0.8,0.52,0.76,CM,MID,5
James Maddison,CAM,England,0.85,0.71,0.81,0.86,0.86,0.54,0.63,0.77,0.66,0.84,0.83,0.88,0.8,0.53,0.78,0.57,0.65,0.42,0.59,0.44,0.35,0.83,CAM,MID,1
Riyad Mahrez,RM,Algeria,0.85,0.79,0.81,0.81,0.88,0.39,0.62,0.83,0.76,0.91,0.9,0.9,0.82,0.58,0.79,0.71,0.34,0.22,0.45,0.39,0.56,0.82,RM,MID,1
Mikel Merino,CM,Spain,0.85,0.72,0.79,0.82,0.82,0.83,0.82,0.72,0.72,0.74,0.73,0.85,0.86,0.8,0.83,0.88,0.84,0.76,0.8,0.85,0.87,0.85,CM,MID,5
Sergej Milinković-Savić,CM,Serbia,0.85,0.64,0.8,0.81,0.82,0.78,0.88,0.62,0.66,0.62,0.63,0.87,0.83,0.9,0.92,0.88,0.77,0.79,0.77,0.78,0.86,0.83,CM,MID,5
Palhinha,CDM,Portugal,0.85,0.52,0.68,0.72,0.74,0.85,0.9,0.54,0.5,0.51,0.5,0.8,0.79,0.9,0.87,0.84,0.88,0.87,0.83,0.86,0.81,0.81,CDM,MID,5
Cole Palmer,RM,England,0.85,0.75,0.82,0.83,0.86,0.5,0.66,0.73,0.77,0.78,0.75,0.87,0.84,0.61,0.78,0.71,0.53,0.4,0.45,0.52,0.62,0.81,RM,MID,1
Leroy Sané,RM,Germany,0.85,0.9,0.83,0.8,0.86,0.37,0.7,0.89,0.91,0.87,0.82,0.85,0.83,0.67,0.78,0.72,0.32,0.35,0.36,0.34,0.64,0.87,RM,MID,1
Aurélien Tchouaméni,CDM,France,0.85,0.73,0.69,0.79,0.78,0.82,0.82,0.74,0.72,0.72,0.7,0.81,0.83,0.82,0.83,0.84,0.83,0.8,0.83,0.84,0.75,0.78,CDM,MID,5
Sandro Tonali,CDM,Italy,0.85,0.84,0.74,0.81,0.81,0.82,0.82,0.81,0.86,0.81,0.83,0.85,0.83,0.82,0.8,0.84,0.84,0.81,0.83,0.84,0.7,0.82,CDM,MID,5
Nico Williams,LM,Spain,0.85,0.93,0.75,0.78,0.86,0.36,0.65,0.94,0.93,0.92,0.84,0.85,0.8,0.6,0.81,0.78,0.28,0.25,0.36,0.4,0.65,0.78,LM,MID,1
Kingsley Coman,LM,France,0.84,0.89,0.75,0.79,0.87,0.3,0.62,0.92,0.87,0.91,0.84,0.87,0.84,0.66,0.68,0.79,0.27,0.21,0.29,0.23,0.61,0.82,LM,MID,1
Rúben Neves,CDM,Portugal,0.84,0.57,0.75,0.86,0.77,0.77,0.77,0.59,0.55,0.64,0.73,0.83,0.82,0.74,0.8,0.66,0.79,0.79,0.79,0.81,0.53,0.86,CDM,MID,5
Rodrigo De Paul,CM,Argentina,0.84,0.76,0.77,0.83,0.82,0.76,0.82,0.77,0.76,0.78,0.78,0.85,0.81,0.78,0.92,0.77,0.81,0.75,0.75,0.8,0.58,0.8,CM,MID,5
Jeremie Frimpong,RM,Holland,0.84,0.93,0.62,0.75,0.86,0.75,0.69,0.96,0.91,0.91,0.9,0.84,0.84,0.58,0.85,0.73,0.78,0.77,0.78,0.78,0.52,0.62,RM,MID,5
Aleix García,CM,Spain,0.84,0.67,0.77,0.85,0.84,0.76,0.68,0.68,0.66,0.76,0.85,0.87,0.82,0.65,0.78,0.65,0.81,0.76,0.79,0.77,0.51,0.78,CM,MID,5
Sadio Mané,LM,Senegal,0.84,0.83,0.81,0.78,0.86,0.44,0.75,0.82,0.83,0.86,0.9,0.86,0.85,0.72,0.79,0.86,0.42,0.38,0.42,0.35,0.78,0.85,LM,MID,1
Christopher Nkunku,CAM,France,0.84,0.81,0.81,0.81,0.86,0.6,0.67,0.82,0.81,0.88,0.9,0.86,0.81,0.67,0.75,0.77,0.6,0.5,0.62,0.6,0.65,0.8,CAM,MID,5
Dani Olmo,CAM,Spain,0.84,0.73,0.77,0.82,0.87,0.5,0.57,0.78,0.69,0.86,0.87,0.87,0.86,0.54,0.66,0.6,0.5,0.44,0.5,0.57,0.43,0.79,CAM,MID,1
Exequiel Palacios,CM,Argentina,0.84,0.69,0.76,0.79,0.82,0.82,0.73,0.71,0.68,0.78,0.79,0.83,0.84,0.67,0.78,0.73,0.86,0.8,0.8,0.86,0.67,0.81,CM,MID,5
Marcel Sabitzer,CM,Austria,0.84,0.76,0.84,0.81,0.82,0.75,0.79,0.78,0.74,0.78,0.78,0.84,0.86,0.76,0.85,0.72,0.78,0.7,0.76,0.81,0.6,0.88,CM,MID,5
Casemiro,CDM,Brazil,0.84,0.38,0.74,0.77,0.69,0.82,0.82,0.35,0.4,0.48,0.51,0.77,0.83,0.84,0.73,0.75,0.84,0.83,0.81,0.82,0.8,0.82,CDM,MID,0
Robert Andrich,CDM,Germany,0.83,0.54,0.77,0.76,0.73,0.83,0.83,0.59,0.5,0.63,0.59,0.76,0.83,0.84,0.77,0.8,0.86,0.79,0.85,0.84,0.74,0.84,CDM,MID,5
Ismaël Bennacer,CDM,Algeria,0.83,0.77,0.73,0.82,0.85,0.78,0.75,0.81,0.74,0.86,0.89,0.85,0.83,0.69,0.78,0.77,0.82,0.77,0.79,0.81,0.62,0.85,CDM,MID,5
Eduardo Camavinga,CM,France,0.83,0.8,0.67,0.81,0.84,0.78,0.8,0.81,0.8,0.82,0.81,0.86,0.82,0.79,0.84,0.82,0.82,0.81,0.76,0.82,0.64,0.73,CM,MID,5
Ángel Di María,RM,Argentina,0.83,0.76,0.8,0.85,0.88,0.48,0.66,0.78,0.74,0.88,0.74,0.9,0.77,0.61,0.69,0.69,0.55,0.52,0.41,0.42,0.53,0.82,RM,MID,1
Moussa Diaby,RM,France,0.83,0.95,0.75,0.74,0.86,0.43,0.53,0.95,0.95,0.92,0.93,0.83,0.8,0.34,0.82,0.57,0.35,0.46,0.48,0.48,0.41,0.74,RM,MID,1
Rafa,CAM,Portugal,0.83,0.93,0.77,0.77,0.86,0.5,0.54,0.94,0.93,0.9,0.88,0.85,0.84,0.4,0.84,0.62,0.47,0.39,0.52,0.58,0.49,0.77,CAM,MID,1
Leon Goretzka,CM,Germany,0.83,0.7,0.8,0.8,0.81,0.8,0.85,0.73,0.68,0.74,0.73,0.81,0.85,0.89,0.78,0.86,0.83,0.76,0.74,0.84,0.86,0.85,CM,MID,5
Teun Koopmeiners,CM,Holland,0.83,0.66,0.78,0.83,0.78,0.75,0.78,0.64,0.67,0.66,0.7,0.84,0.84,0.75,0.87,0.77,0.74,0.73,0.76,0.78,0.73,0.82,CM,MID,5
Mateo Kovačić,CM,Croatia,0.83,0.69,0.67,0.82,0.87,0.71,0.7,0.75,0.64,0.86,0.84,0.88,0.84,0.66,0.75,0.63,0.75,0.68,0.73,0.76,0.42,0.78,CM,MID,5
Konrad Laimer,CDM,Austria,0.83,0.8,0.69,0.77,0.77,0.82,0.78,0.82,0.79,0.76,0.77,0.78,0.84,0.71,0.81,0.8,0.81,0.79,0.86,0.87,0.67,0.74,CDM,MID,5
Marcos Llorente,RM,Spain,0.83,0.89,0.79,0.78,0.8,0.79,0.81,0.87,0.91,0.83,0.68,0.8,0.81,0.77,0.91,0.84,0.82,0.74,0.79,0.83,0.67,0.84,RM,MID,5
Manuel Locatelli,CDM,Italy,0.83,0.64,0.7,0.8,0.78,0.79,0.8,0.61,0.67,0.65,0.6,0.83,0.8,0.76,0.9,0.74,0.83,0.75,0.8,0.78,0.68,0.79,CDM,MID,5
Donyell Malen,RM,Holland,0.83,0.89,0.81,0.74,0.85,0.35,0.72,0.93,0.86,0.87,0.86,0.85,0.82,0.72,0.77,0.84,0.33,0.35,0.29,0.31,0.67,0.86,RM,MID,1
Henrikh Mkhitaryan,CM,Armenia,0.83,0.78,0.79,0.82,0.84,0.72,0.77,0.8,0.77,0.85,0.83,0.86,0.83,0.72,0.85,0.79,0.72,0.7,0.71,0.75,0.68,0.84,CM,MID,5
Gavi,CM,Spain,0.83,0.76,0.66,0.78,0.85,0.68,0.7,0.77,0.75,0.86,0.9,0.85,0.86,0.58,0.84,0.62,0.78,0.72,0.59,0.79,0.42,0.56,CM,MID,5
Parejo,CM,Spain,0.83,0.52,0.8,0.88,0.78,0.74,0.69,0.53,0.51,0.6,0.74,0.85,0.75,0.7,0.71,0.67,0.74,0.73,0.76,0.79,0.63,0.8,CM,MID,5
Lorenzo Pellegrini,CAM,Italy,0.83,0.79,0.78,0.83,0.83,0.74,0.78,0.79,0.79,0.79,0.82,0.87,0.85,0.74,0.87,0.83,0.77,0.73,0.73,0.72,0.74,0.79,CAM,MID,5
Koke,CDM,Spain,0.83,0.69,0.72,0.84,0.79,0.77,0.78,0.7,0.68,0.7,0.81,0.83,0.82,0.75,0.85,0.74,0.81,0.7,0.78,0.82,0.61,0.82,CDM,MID,5
Guido Rodríguez,CDM,Argentina,0.83,0.51,0.58,0.72,0.7,0.85,0.8,0.55,0.47,0.47,0.45,0.76,0.8,0.8,0.76,0.77,0.88,0.85,0.86,0.86,0.74,0.8,CDM,MID,0
Xavi Simons,CAM,Holland,0.83,0.81,0.77,0.8,0.86,0.61,0.71,0.86,0.77,0.9,0.87,0.86,0.84,0.63,0.83,0.69,0.62,0.56,0.6,0.65,0.6,0.78,CAM,MID,5
Douglas Luiz,CM,Brazil,0.83,0.66,0.78,0.85,0.8,0.75,0.76,0.69,0.64,0.74,0.75,0.85,0.79,0.74,0.8,0.74,0.79,0.72,0.76,0.77,0.62,0.79,CM,MID,5
Dušan Tadić,LM,Serbia,0.83,0.64,0.79,0.85,0.81,0.43,0.78,0.65,0.63,0.72,0.82,0.84,0.82,0.8,0.84,0.76,0.34,0.26,0.51,0.41,0.66,0.77,LM,MID,1
Lucas Torreira,CDM,Uruguay,0.83,0.76,0.69,0.78,0.81,0.81,0.81,0.8,0.73,0.87,0.9,0.81,0.84,0.73,0.92,0.76,0.82,0.81,0.85,0.83,0.59,0.8,CDM,MID,5
Viktor Tsygankov,RM,Ukraine,0.83,0.85,0.8,0.81,0.82,0.46,0.62,0.85,0.85,0.83,0.72,0.83,0.8,0.53,0.77,0.64,0.39,0.37,0.6,0.39,0.45,0.78,RM,MID,1
Isco,CAM,Spain,0.82,0.66,0.74,0.82,0.83,0.59,0.59,0.68,0.65,0.79,0.84,0.85,0.78,0.55,0.67,0.63,0.62,0.51,0.58,0.61,0.55,0.72,CAM,MID,5
Joelinton,CM,Brazil,0.82,0.76,0.72,0.76,0.82,0.81,0.89,0.7,0.81,0.68,0.66,0.85,0.85,0.9,0.88,0.9,0.83,0.76,0.79,0.84,0.82,0.84,CM,MID,5
Pepê,CAM,Brazil,0.82,0.87,0.74,0.75,0.85,0.62,0.62,0.86,0.87,0.91,0.8,0.86,0.82,0.52,0.89,0.62,0.57,0.48,0.7,0.74,0.42,0.68,CAM,MID,1
Leon Bailey,RM,Jamaica,0.82,0.9,0.78,0.77,0.86,0.38,0.62,0.93,0.87,0.91,0.88,0.85,0.8,0.61,0.68,0.76,0.34,0.29,0.45,0.28,0.57,0.79,RM,MID,1
Jarrod Bowen,RM,England,0.82,0.77,0.81,0.76,0.81,0.46,0.7,0.79,0.76,0.79,0.81,0.82,0.83,0.66,0.83,0.85,0.41,0.37,0.49,0.37,0.82,0.8,RM,MID,1
Marcelo Brozović,CDM,Croatia,0.82,0.66,0.74,0.79,0.8,0.8,0.8,0.68,0.65,0.79,0.84,0.82,0.75,0.71,0.93,0.75,0.84,0.82,0.77,0.81,0.7,0.8,CDM,MID,5
Moisés Caicedo,CDM,Ecuador,0.82,0.75,0.63,0.75,0.78,0.79,0.78,0.77,0.73,0.76,0.79,0.82,0.8,0.72,0.84,0.76,0.82,0.8,0.8,0.82,0.6,0.71,CDM,MID,5
Emre Can,CDM,Germany,0.82,0.77,0.78,0.74,0.76,0.82,0.86,0.67,0.86,0.69,0.74,0.78,0.79,0.86,0.8,0.88,0.85,0.85,0.79,0.8,0.82,0.85,CDM,MID,5
Lucas Paquetá,LM,Brazil,0.82,0.72,0.77,0.79,0.85,0.69,0.79,0.71,0.73,0.75,0.76,0.86,0.81,0.77,0.82,0.78,0.72,0.63,0.67,0.71,0.68,0.77,LM,MID,5
Otávio,CAM,Portugal,0.82,0.78,0.71,0.81,0.85,0.67,0.74,0.81,0.76,0.85,0.83,0.85,0.84,0.62,0.86,0.75,0.73,0.6,0.66,0.63,0.65,0.73,CAM,MID,5
Sergi Darder,CM,Spain,0.82,0.79,0.78,0.82,0.83,0.74,0.77,0.78,0.79,0.84,0.75,0.82,0.8,0.75,0.84,0.78,0.76,0.75,0.75,0.76,0.6,0.83,CM,MID,5
Brahim,CAM,Morocco,0.82,0.85,0.74,0.78,0.85,0.31,0.56,0.85,0.85,0.89,0.91,0.85,0.79,0.55,0.68,0.6,0.23,0.21,0.4,0.33,0.3,0.73,CAM,MID,1
Enzo Fernández,CM,Argentina,0.82,0.69,0.73,0.82,0.8,0.73,0.77,0.7,0.68,0.75,0.77,0.84,0.8,0.73,0.82,0.74,0.75,0.73,0.73,0.75,0.62,0.82,CM,MID,5
Jorginho,CDM,Italy,0.82,0.46,0.67,0.83,0.8,0.73,0.71,0.54,0.39,0.67,0.72,0.86,0.82,0.66,0.79,0.63,0.78,0.7,0.71,0.79,0.56,0.71,CDM,MID,5
Serge Gnabry,RM,Germany,0.82,0.8,0.83,0.78,0.84,0.43,0.66,0.84,0.77,0.85,0.88,0.82,0.82,0.69,0.66,0.68,0.44,0.43,0.45,0.38,0.42,0.86,RM,MID,1
Fabinho,CDM,Brazil,0.82,0.58,0.69,0.78,0.77,0.8,0.82,0.51,0.64,0.61,0.62,0.81,0.78,0.8,0.85,0.75,0.81,0.8,0.8,0.81,0.72,0.81,CDM,MID,5
Yangel Herrera,CDM,Venezuela,0.82,0.64,0.77,0.76,0.78,0.8,0.81,0.66,0.63,0.68,0.69,0.81,0.8,0.81,0.8,0.83,0.81,0.78,0.81,0.8,0.77,0.82,CDM,MID,5
Jonas Hofmann,CAM,Germany,0.82,0.73,0.79,0.81,0.81,0.64,0.72,0.74,0.72,0.79,0.78,0.83,0.84,0.66,0.87,0.66,0.57,0.57,0.7,0.75,0.48,0.74,CAM,MID,5
Boubacar Kamara,CDM,France,0.82,0.66,0.54,0.74,0.75,0.83,0.8,0.64,0.68,0.66,0.65,0.8,0.75,0.8,0.81,0.79,0.85,0.8,0.83,0.85,0.72,0.67,CDM,MID,5
Franck Yannick Kessié,CDM,Côte d'Ivoire,0.82,0.79,0.77,0.74,0.79,0.8,0.88,0.77,0.8,0.7,0.77,0.82,0.78,0.88,0.93,0.85,0.82,0.78,0.82,0.81,0.68,0.84,CDM,MID,5
Filip Kostić,LM,Serbia,0.82,0.85,0.76,0.81,0.81,0.7,0.8,0.84,0.85,0.76,0.79,0.81,0.8,0.77,0.88,0.8,0.74,0.72,0.69,0.69,0.59,0.86,LM,MID,5
Mohammed Kudus,RM,Ghana,0.82,0.9,0.77,0.73,0.86,0.6,0.75,0.92,0.88,0.86,0.92,0.84,0.79,0.76,0.79,0.74,0.66,0.46,0.6,0.59,0.55,0.81,RM,MID,1
Dejan Kulusevski,RM,Sweden,0.82,0.75,0.77,0.8,0.83,0.57,0.8,0.76,0.74,0.75,0.69,0.84,0.81,0.8,0.9,0.75,0.64,0.55,0.55,0.54,0.52,0.76,RM,MID,5
Stanislav Lobotka,CM,Slovakia,0.82,0.72,0.69,0.8,0.81,0.75,0.75,0.76,0.68,0.75,0.86,0.84,0.8,0.68,0.89,0.67,0.8,0.76,0.77,0.78,0.45,0.69,CM,MID,5
John McGinn,CM,Scotland,0.82,0.68,0.77,0.8,0.82,0.78,0.85,0.72,0.64,0.77,0.85,0.83,0.81,0.82,0.92,0.77,0.82,0.78,0.79,0.81,0.57,0.84,CM,MID,5
Thomas Müller,CAM,Germany,0.82,0.57,0.82,0.83,0.79,0.55,0.68,0.54,0.6,0.67,0.69,0.82,0.91,0.66,0.77,0.73,0.57,0.46,0.47,0.58,0.79,0.78,CAM,MID,5
Michael Olise,RM,France,0.82,0.8,0.77,0.82,0.84,0.53,0.56,0.82,0.79,0.91,0.86,0.83,0.77,0.46,0.68,0.56,0.58,0.53,0.52,0.55,0.36,0.76,RM,MID,1
Thomas Partey,CDM,Ghana,0.82,0.62,0.71,0.8,0.77,0.79,0.82,0.55,0.68,0.63,0.5,0.81,0.79,0.84,0.76,0.75,0.83,0.78,0.79,0.81,0.68,0.85,CDM,MID,5
Tijjani Reijnders,CM,Holland,0.82,0.8,0.76,0.8,0.84,0.73,0.74,0.83,0.77,0.82,0.84,0.84,0.8,0.65,0.92,0.76,0.77,0.71,0.71,0.75,0.61,0.85,CM,MID,5
Fabián Ruiz,CM,Spain,0.82,0.54,0.76,0.8,0.8,0.75,0.72,0.58,0.5,0.66,0.67,0.84,0.82,0.67,0.84,0.69,0.78,0.75,0.71,0.78,0.68,0.77,CM,MID,5
Sancet,CAM,Spain,0.82,0.73,0.77,0.8,0.84,0.7,0.82,0.72,0.74,0.85,0.77,0.83,0.84,0.8,0.86,0.86,0.74,0.6,0.64,0.74,0.8,0.82,CAM,MID,5
Jadon Sancho,LM,England,0.82,0.79,0.69,0.78,0.89,0.32,0.5,0.83,0.76,0.9,0.9,0.87,0.81,0.47,0.75,0.57,0.3,0.25,0.34,0.31,0.38,0.6,LM,MID,1
Malcom,CAM,Brazil,0.82,0.84,0.79,0.79,0.84,0.43,0.72,0.86,0.82,0.86,0.92,0.84,0.79,0.7,0.88,0.8,0.45,0.27,0.51,0.26,0.67,0.83,CAM,MID,1
Anderson Talisca,RM,Brazil,0.82,0.79,0.84,0.78,0.83,0.53,0.75,0.83,0.76,0.86,0.58,0.86,0.82,0.75,0.74,0.81,0.55,0.42,0.45,0.52,0.79,0.87,RM,MID,5
Iñaki Williams,RM,Ghana,0.82,0.94,0.81,0.72,0.8,0.45,0.84,0.93,0.94,0.77,0.62,0.8,0.83,0.84,0.88,0.95,0.48,0.38,0.42,0.3,0.8,0.85,RM,MID,1
Luciano Acosta,CAM,Argentina,0.81,0.79,0.73,0.76,0.85,0.46,0.56,0.87,0.73,0.88,0.92,0.84,0.81,0.4,0.77,0.61,0.49,0.32,0.47,0.45,0.53,0.71,CAM,MID,1
Edson Álvarez,CDM,Mexico,0.81,0.66,0.58,0.69,0.72,0.83,0.87,0.66,0.66,0.6,0.68,0.76,0.77,0.86,0.9,0.81,0.83,0.79,0.83,0.83,0.82,0.74,CDM,MID,5
Rodrigo Bentancur,CM,Uruguay,0.81,0.67,0.68,0.8,0.82,0.79,0.76,0.68,0.66,0.68,0.76,0.85,0.79,0.72,0.81,0.74,0.82,0.78,0.79,0.81,0.65,0.71,CM,MID,5
Álex Berenguer,LM,Spain,0.81,0.85,0.75,0.75,0.83,0.64,0.68,0.86,0.84,0.87,0.88,0.81,0.79,0.59,0.8,0.73,0.65,0.61,0.65,0.65,0.58,0.76,LM,MID,5
Sergio Busquets,CDM,Spain,0.81,0.37,0.61,0.77,0.78,0.78,0.73,0.35,0.38,0.64,0.5,0.82,0.78,0.72,0.75,0.64,0.8,0.75,0.8,0.8,0.68,0.61,CDM,MID,0
Bryan Cristante,CM,Italy,0.81,0.55,0.74,0.78,0.75,0.78,0.84,0.53,0.56,0.62,0.54,0.8,0.8,0.83,0.93,0.8,0.78,0.74,0.8,0.76,0.76,0.83,CM,MID,5
Ricardo Horta,CAM,Portugal,0.81,0.8,0.8,0.8,0.81,0.43,0.7,0.82,0.78,0.83,0.85,0.8,0.82,0.63,0.83,0.72,0.44,0.35,0.32,0.55,0.55,0.78,CAM,MID,1
Fred,CDM,Brazil,0.81,0.75,0.71,0.79,0.82,0.75,0.78,0.8,0.71,0.89,0.88,0.82,0.85,0.68,0.94,0.73,0.8,0.72,0.74,0.82,0.56,0.79,CDM,MID,5
Eberechi Eze,CAM,England,0.81,0.78,0.81,0.78,0.84,0.49,0.69,0.79,0.77,0.84,0.84,0.82,0.79,0.7,0.76,0.7,0.58,0.42,0.4,0.52,0.49,0.79,CAM,MID,1
Youssouf Fofana,CDM,France,0.81,0.69,0.68,0.74,0.77,0.78,0.8,0.67,0.7,0.7,0.75,0.79,0.79,0.77,0.9,0.75,0.81,0.76,0.78,0.81,0.63,0.76,CDM,MID,5
Davide Frattesi,CM,Italy,0.81,0.8,0.74,0.78,0.81,0.71,0.71,0.8,0.8,0.77,0.76,0.85,0.8,0.63,0.81,0.77,0.73,0.7,0.7,0.71,0.7,0.76,CM,MID,5
Remo Freuler,CDM,Switzerland,0.81,0.6,0.72,0.76,0.77,0.77,0.74,0.63,0.58,0.67,0.65,0.83,0.82,0.67,0.91,0.62,0.81,0.76,0.8,0.79,0.48,0.75,CDM,MID,5
Conor Gallagher,CM,England,0.81,0.73,0.75,0.78,0.78,0.77,0.81,0.7,0.76,0.71,0.72,0.81,0.8,0.73,0.94,0.71,0.82,0.78,0.77,0.81,0.55,0.81,CM,MID,5
Alexandr Golovin,LM,Russia,0.81,0.77,0.77,0.8,0.83,0.61,0.68,0.76,0.77,0.86,0.77,0.83,0.81,0.56,0.86,0.63,0.72,0.66,0.45,0.71,0.46,0.78,LM,MID,5
Pascal Groß,CDM,Germany,0.81,0.5,0.77,0.85,0.8,0.73,0.74,0.51,0.5,0.67,0.66,0.85,0.85,0.68,0.85,0.61,0.77,0.72,0.75,0.73,0.53,0.8,CDM,MID,5
Daichi Kamada,CAM,Japan,0.81,0.79,0.73,0.8,0.83,0.54,0.63,0.81,0.78,0.81,0.82,0.83,0.8,0.57,0.82,0.68,0.57,0.54,0.53,0.52,0.53,0.65,CAM,MID,1
Orkun Kökçü,CM,Turkey,0.81,0.72,0.76,0.83,0.8,0.68,0.79,0.75,0.69,0.78,0.8,0.85,0.74,0.73,0.88,0.66,0.71,0.69,0.7,0.74,0.41,0.78,CM,MID,5
